-300	-3.6681411759538565e-13
-299	-3.488465193679671e-13
-298	-3.3049209882250086e-13
-297	-3.117442102493259e-13
-296	-2.9259610346540674e-13
-295	-2.730409223976993e-13
-294	-2.5307170365564815e-13
-293	-2.326813750930899e-13
-292	-2.118627543598425e-13
-291	-1.9060854744329406e-13
-290	-1.6891134720031763e-13
-289	-1.467636318798595e-13
-288	-1.2415776363657395e-13
-287	-1.0108598703589775e-13
-286	-7.754042755098043e-14
-285	-5.351309005191404e-14
-284	-2.899585728772781e-14
-283	-3.980488361641404e-15
-282	2.154138279990293e-14
-281	4.7578248983881165e-14
-280	7.413873123242398e-14
-279	1.01231580389042e-13
-278	1.2886567864870049e-13
-277	1.5705004111107496e-13
-276	1.8579381733628224e-13
-275	2.1510629290235072e-13
-274	2.4499689096365674e-13
-273	2.7547517380951705e-13
-272	3.0655084442209013e-13
-271	3.3823374803270067e-13
-270	3.705338736756636e-13
-269	4.0346135573863386e-13
-268	4.370264755084799e-13
-267	4.712396627116218e-13
-266	5.061114970477361e-13
-265	5.416527097156818e-13
-264	5.778741849304544e-13
-263	6.147869614299279e-13
-262	6.524022339700795e-13
-261	6.907313548073682e-13
-260	7.297858351668535e-13
-259	7.695773466946022e-13
-258	8.101177228928785e-13
-257	8.514189605365384e-13
-256	8.934932210690014e-13
-255	9.36352831976107e-13
-254	9.800102881361075e-13
-253	1.024478253143963e-12
-252	1.0697695606080725e-12
-251	1.1158972154174635e-12
-250	1.1628743949774387e-12
-249	1.2107144504115675e-12
-248	1.2594309077278633e-12
-247	1.3090374689468932e-12
-246	1.3595480131895112e-12
-245	1.4109765977218064e-12
-244	1.4633374589547837e-12
-243	1.516645013396238e-12
-242	1.5709138585521321e-12
-241	1.626158773774803e-12
-240	1.682394721055127e-12
-239	1.7396368457557648e-12
-238	1.7979004772824867e-12
-237	1.8572011296904695e-12
-236	1.9175545022223942e-12
-235	1.9789764797750557e-12
-234	2.0414831332911064e-12
-233	2.105090720072453e-12
-232	2.1698156840117205e-12
-231	2.2356746557381113e-12
-230	2.3026844526738607e-12
-229	2.3708620789973853e-12
-228	2.4402247255091553e-12
-227	2.5107897693961344e-12
-226	2.5825747738906053e-12
-225	2.6555974878190307e-12
-224	2.729875845036488e-12
-223	2.80542796374215e-12
-222	2.8822721456711195e-12
-221	2.96042687515782e-12
-220	3.039910818066037e-12
-219	3.1207428205805993e-12
-218	3.202941907855535e-12
-217	3.286527282513443e-12
-216	3.3715183229907116e-12
-215	3.4579345817230415e-12
-214	3.545795783165715e-12
-213	3.6351218216427863e-12
-212	3.725932759019409e-12
-211	3.818248822191252e-12
-210	3.912090400384948e-12
-209	4.007478042263342e-12
-208	4.1044324528291705e-12
-207	4.202974490120786e-12
-206	4.303125161693306e-12
-205	4.4049056208784994e-12
-204	4.508337162816682e-12
-203	4.6134412202536515e-12
-202	4.720239359095712e-12
-201	4.828753273715633e-12
-200	4.939004782002376e-12
-199	5.051015820147265e-12
-198	5.164808437159198e-12
-197	5.280404789101415e-12
-196	5.397827133042287e-12
-195	5.517097820712422e-12
-194	5.638239291860411e-12
-193	5.761274067299412e-12
-192	5.886224741636718e-12
-191	6.013113975678409e-12
-190	6.141964488501115e-12
-189	6.2727990491829895e-12
-188	6.405640468185714e-12
-187	6.5405115883796485e-12
-186	6.677435275703973e-12
-185	6.816434409453808e-12
-184	6.9575318721862656e-12
-183	7.1007505392373304e-12
-182	7.246113267841689e-12
-181	7.393642885847435e-12
-180	7.54336218001784e-12
-179	7.695293883912314e-12
-178	7.849460665338788e-12
-177	8.005885113369938e-12
-176	8.16458972491567e-12
-175	8.325596890844537e-12
-174	8.488928881646709e-12
-173	8.654607832631582e-12
-172	8.822655728653037e-12
-171	8.993094388355677e-12
-170	9.16594544793561e-12
-169	9.341230344409612e-12
-168	9.518970298386618e-12
-167	9.699186296336036e-12
-166	9.881899072347502e-12
-165	1.0067129089377047e-11
-164	1.0254896519975277e-11
-163	1.0445221226493024e-11
-162	1.0638122740761025e-11
-161	1.083362024324003e-11
-160	1.1031732541638648e-11
-159	1.1232478048996517e-11
-158	1.143587476123095e-11
-157	1.1641940234145916e-11
-156	1.185069155990265e-11
-155	1.2062145342951928e-11
-154	1.2276317675428655e-11
-153	1.2493224112010152e-11
-152	1.2712879644240263e-11
-151	1.2935298674322171e-11
-150	1.3160494988383573e-11
-149	1.33884817292188e-11
-148	1.3619271368513304e-11
-147	1.3852875678556829e-11
-146	1.4089305703452542e-11
-145	1.43285717298305e-11
-144	1.4570683257074665e-11
-143	1.4815648967073968e-11
-142	1.5063476693508844e-11
-141	1.5314173390685887e-11
-140	1.556774510193458e-11
-139	1.5824196927580957e-11
-138	1.6083532992514676e-11
-137	1.6345756413367045e-11
-136	1.6610869265318872e-11
-135	1.687887254855868e-11
-134	1.7149766154412646e-11
-133	1.7423548831169745e-11
-132	1.770021814962646e-11
-131	1.7979770468377362e-11
-130	1.826220089887906e-11
-129	1.8547503270316737e-11
-128	1.8835670094304155e-11
-127	1.912669252944935e-11
-126	1.9420560345820225e-11
-125	1.9717261889345523e-11
-124	2.0016784046188557e-11
-123	2.0319112207132897e-11
-122	2.0624230232020386e-11
-121	2.0932120414284215e-11
-120	2.1242763445620996e-11
-119	2.1556138380847665e-11
-118	2.1872222602990925e-11
-117	2.2190991788658168e-11
-116	2.2512419873741212e-11
-115	2.2836479019505037e-11
-114	2.316313957911628e-11
-113	2.3492370064666853e-11
-112	2.3824137114750836e-11
-111	2.415840546265324e-11
-110	2.4495137905211633e-11
