-300	-300	1.1893428391738597e-08
-297	-300	1.2017588005126663e-08
-294	-300	1.2141325216381563e-08
-291	-300	1.2264545943295479e-08
-288	-300	1.2387152317914385e-08
-285	-300	1.2509042627669347e-08
-282	-300	1.2630111260781156e-08
-279	-300	1.2750248656393622e-08
-276	-300	1.286934125991058e-08
-273	-300	1.2987271484031372e-08
-270	-300	1.3103917675998486e-08
-267	-300	1.3219154091589567e-08
-264	-300	1.3332850876403877e-08
-261	-300	1.3444874055009753e-08
-258	-300	1.355508552853569e-08
-255	-300	1.366334308130161e-08
-252	-300	1.3769500397100153e-08
-249	-300	1.3873407085748565e-08
-246	-300	1.3974908720541212e-08
-243	-300	1.4073846887239507e-08
-240	-300	1.4170059245240602e-08
-237	-300	1.4263379601568164e-08
-234	-300	1.4353637998327037e-08
-231	-300	1.4440660814259662e-08
-228	-300	1.4524270881033761e-08
-225	-300	1.4604287614879527e-08
-222	-300	1.4680527164178431e-08
-219	-300	1.4752802573586027e-08
-216	-300	1.4820923965246114e-08
-213	-300	1.488469873762435e-08
-210	-300	1.494393178245453e-08
-207	-300	1.4998425720250743e-08
-204	-300	1.504798115479315e-08
-201	-300	1.5092396946943482e-08
-198	-300	1.513147050808915e-08
-195	-300	1.5164998113451484e-08
-192	-300	1.5192775235423765e-08
-189	-300	1.5214596897028757e-08
-186	-300	1.523025804550348e-08
-183	-300	1.5239553945929956e-08
-180	-300	1.5242280594736083e-08
-177	-300	1.5238235152790026e-08
-174	-300	1.522721639770412e-08
-171	-300	1.5209025194852398e-08
-168	-300	1.5183464986487472e-08
-165	-300	1.5150342298219836e-08
-162	-300	1.5109467261995112e-08
-159	-300	1.5060654154573683e-08
-156	-300	1.5003721950382e-08
-153	-300	1.493849488746779e-08
-150	-300	1.4864803045152121e-08
-147	-300	1.4782482931830623e-08
-144	-300	1.4691378081236308e-08
-141	-300	1.4591339655336522e-08
-138	-300	1.4482227051899437e-08
-135	-300	1.4363908514630781e-08
-132	-300	1.4236261743652041e-08
-129	-300	1.4099174503966561e-08
-126	-300	1.3952545229442799e-08
-123	-300	1.3796283619734587e-08
-120	-300	1.3630311227458999e-08
-117	-300	1.3454562032863164e-08
-114	-300	1.326898300313574e-08
-111	-300	1.3073534633455473e-08
-108	-300	1.286819146682196e-08
-105	-300	1.2652942589681899e-08
-102	-300	1.2427792100350187e-08
-99	-300	1.2192759547229248e-08
-96	-300	1.1947880333854187e-08
-93	-300	1.1693206087834907e-08
-90	-300	1.1428804990831848e-08
-87	-300	1.115476206678857e-08
-84	-300	1.0871179425753186e-08
-81	-300	1.0578176460751486e-08
-78	-300	1.0275889995327955e-08
-75	-300	9.964474379545812e-09
-72	-300	9.644101532434221e-09
-69	-300	9.314960929088298e-09
-66	-300	8.977259530865502e-09
-63	-300	8.631221657378612e-09
-60	-300	8.277088799259862e-09
-57	-300	7.915119370961156e-09
-54	-300	7.545588403159907e-09
-51	-300	7.168787174656892e-09
-48	-300	6.785022783979442e-09
-45	-300	6.3946176612379295e-09
-42	-300	5.997909021123276e-09
-39	-300	5.595248258275593e-09
-36	-300	5.187000286596217e-09
-33	-300	4.773542824414335e-09
-30	-300	4.355265627752836e-09
-27	-300	3.932569674262072e-09
-24	-300	3.5058663007031458e-09
-21	-300	3.0755762971604506e-09
-18	-300	2.6421289614441653e-09
-15	-300	2.205961117404631e-09
-12	-300	1.7675161011194534e-09
-9	-300	1.3272427191284773e-09
-6	-300	8.855941830796435e-10
-3	-300	4.430270253080511e-10
0	-300	0.0
3	-300	-4.430270253080511e-10
6	-300	-8.855941830796435e-10
9	-300	-1.3272427191284773e-09
12	-300	-1.7675161011194534e-09
15	-300	-2.205961117404631e-09
18	-300	-2.6421289614441653e-09
21	-300	-3.0755762971604506e-09
24	-300	-3.5058663007031458e-09
